




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4081749 Released 2020-10-09
Analyzed List:	human_orthologs_for_go_enrichment.txt (Homo sapiens)	There are duplicate IDs in the file. The unique set of IDs will be used.
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20851)	human_orthologs_for_go_enrichment.txt (3154)	human_orthologs_for_go_enrichment.txt (expected)	human_orthologs_for_go_enrichment.txt (over/under)	human_orthologs_for_go_enrichment.txt (fold Enrichment)	human_orthologs_for_go_enrichment.txt (raw P-value)	human_orthologs_for_go_enrichment.txt (FDR)
peptidyl-arginine omega-N-methylation (GO:0035247)	9	7	1.36	+	5.14	2.59E-03	3.21E-02
spliceosomal tri-snRNP complex assembly (GO:0000244)	13	10	1.97	+	5.09	3.37E-04	5.64E-03
quaternary ammonium group transport (GO:0015697)	13	10	1.97	+	5.09	3.37E-04	5.64E-03
CDP-diacylglycerol biosynthetic process (GO:0016024)	13	10	1.97	+	5.09	3.37E-04	5.63E-03
midbody abscission (GO:0061952)	17	13	2.57	+	5.06	4.56E-05	9.64E-04
exogenous drug catabolic process (GO:0042738)	25	19	3.78	+	5.02	8.87E-07	2.76E-05
ethanol oxidation (GO:0006069)	12	9	1.82	+	4.96	7.62E-04	1.15E-02
fat-soluble vitamin catabolic process (GO:0042363)	12	9	1.82	+	4.96	7.62E-04	1.15E-02
pyrimidine-containing compound transmembrane transport (GO:0072531)	12	9	1.82	+	4.96	7.62E-04	1.15E-02
cytoplasmic translation (GO:0002181)	75	56	11.34	+	4.94	5.13E-17	5.18E-15
cytoplasmic translational initiation (GO:0002183)	31	23	4.69	+	4.90	8.70E-08	3.23E-06
drug catabolic process (GO:0042737)	27	20	4.08	+	4.90	6.12E-07	1.98E-05
SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	96	71	14.52	+	4.89	5.04E-21	5.97E-19
oligosaccharide-lipid intermediate biosynthetic process (GO:0006490)	23	17	3.48	+	4.89	4.34E-06	1.18E-04
translational initiation (GO:0006413)	145	107	21.93	+	4.88	6.22E-31	1.35E-28
purine nucleotide transport (GO:0015865)	38	28	5.75	+	4.87	3.93E-09	1.88E-07
protein refolding (GO:0042026)	19	14	2.87	+	4.87	3.12E-05	6.87E-04
pentose metabolic process (GO:0019321)	15	11	2.27	+	4.85	2.28E-04	3.97E-03
adenine nucleotide transport (GO:0051503)	37	27	5.60	+	4.82	8.59E-09	3.84E-07
maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000462)	37	27	5.60	+	4.82	8.59E-09	3.83E-07
purine ribonucleotide transport (GO:0015868)	37	27	5.60	+	4.82	8.59E-09	3.82E-07
dolichol-linked oligosaccharide biosynthetic process (GO:0006488)	22	16	3.33	+	4.81	9.58E-06	2.42E-04
nucleotide-excision repair, DNA duplex unwinding (GO:0000717)	22	16	3.33	+	4.81	9.58E-06	2.42E-04
regulation of establishment of protein localization to telomere (GO:0070203)	11	8	1.66	+	4.81	1.73E-03	2.30E-02
positive regulation of protein localization to Cajal body (GO:1904871)	11	8	1.66	+	4.81	1.73E-03	2.30E-02
regulation of protein localization to Cajal body (GO:1904869)	11	8	1.66	+	4.81	1.73E-03	2.30E-02
peptidyl-arginine N-methylation (GO:0035246)	11	8	1.66	+	4.81	1.73E-03	2.30E-02
L-ascorbic acid metabolic process (GO:0019852)	11	8	1.66	+	4.81	1.73E-03	2.29E-02
regulation of telomerase RNA localization to Cajal body (GO:1904872)	18	13	2.72	+	4.77	6.92E-05	1.39E-03
late endosome to vacuole transport (GO:0045324)	25	18	3.78	+	4.76	2.96E-06	8.33E-05
ATP transport (GO:0015867)	32	23	4.84	+	4.75	1.31E-07	4.72E-06
mitotic cytokinetic process (GO:1902410)	21	15	3.18	+	4.72	2.11E-05	4.83E-04
nuclear-transcribed mRNA catabolic process, exonucleolytic (GO:0000291)	35	25	5.29	+	4.72	4.10E-08	1.62E-06
basic amino acid transmembrane transport (GO:1990822)	14	10	2.12	+	4.72	5.10E-04	8.12E-03
cotranslational protein targeting to membrane (GO:0006613)	101	72	15.28	+	4.71	1.18E-20	1.37E-18
basic amino acid transport (GO:0015802)	17	12	2.57	+	4.67	1.53E-04	2.81E-03
protein depalmitoylation (GO:0002084)	10	7	1.51	+	4.63	3.91E-03	4.56E-02
DNA replication-dependent nucleosome assembly (GO:0006335)	10	7	1.51	+	4.63	3.91E-03	4.56E-02
ESCRT III complex disassembly (GO:1904903)	10	7	1.51	+	4.63	3.91E-03	4.56E-02
protein deneddylation (GO:0000338)	10	7	1.51	+	4.63	3.91E-03	4.55E-02
ESCRT complex disassembly (GO:1904896)	10	7	1.51	+	4.63	3.91E-03	4.55E-02
aminoglycoside antibiotic metabolic process (GO:0030647)	10	7	1.51	+	4.63	3.91E-03	4.55E-02
DNA replication-dependent nucleosome organization (GO:0034723)	10	7	1.51	+	4.63	3.91E-03	4.54E-02
glyoxylate metabolic process (GO:0046487)	10	7	1.51	+	4.63	3.91E-03	4.54E-02
protein targeting to ER (GO:0045047)	113	79	17.09	+	4.62	3.78E-22	4.76E-20
nucleotide transport (GO:0006862)	43	30	6.50	+	4.61	2.76E-09	1.37E-07
exonucleolytic catabolism of deadenylated mRNA (GO:0043928)	33	23	4.99	+	4.61	1.95E-07	6.91E-06
nucleotide-excision repair, DNA damage recognition (GO:0000715)	23	16	3.48	+	4.60	1.43E-05	3.43E-04
branched-chain amino acid catabolic process (GO:0009083)	23	16	3.48	+	4.60	1.43E-05	3.42E-04
proteasomal ubiquitin-independent protein catabolic process (GO:0010499)	23	16	3.48	+	4.60	1.43E-05	3.41E-04
aldehyde catabolic process (GO:0046185)	13	9	1.97	+	4.58	1.14E-03	1.61E-02
lysine metabolic process (GO:0006553)	13	9	1.97	+	4.58	1.14E-03	1.61E-02
protein neddylation (GO:0045116)	13	9	1.97	+	4.58	1.14E-03	1.61E-02
positive regulation of protein localization to chromosome, telomeric region (GO:1904816)	13	9	1.97	+	4.58	1.14E-03	1.61E-02
nucleotide-excision repair, preincision complex assembly (GO:0006294)	29	20	4.39	+	4.56	1.36E-06	4.06E-05
DNA strand elongation involved in DNA replication (GO:0006271)	19	13	2.87	+	4.52	1.03E-04	1.96E-03
establishment of protein localization to endoplasmic reticulum (GO:0072599)	117	80	17.70	+	4.52	5.60E-22	6.99E-20
protein import into peroxisome membrane (GO:0045046)	22	15	3.33	+	4.51	3.13E-05	6.87E-04
nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	121	82	18.30	+	4.48	2.58E-22	3.36E-20
S phase (GO:0051320)	65	44	9.83	+	4.48	1.25E-12	9.03E-11
mitotic S phase (GO:0000084)	65	44	9.83	+	4.48	1.25E-12	8.99E-11
tricarboxylic acid cycle (GO:0006099)	34	23	5.14	+	4.47	2.86E-07	9.93E-06
lysine catabolic process (GO:0006554)	12	8	1.82	+	4.41	2.55E-03	3.19E-02
azole transmembrane transport (GO:0045117)	12	8	1.82	+	4.41	2.55E-03	3.19E-02
pyrimidine nucleotide-sugar transmembrane transport (GO:0090481)	12	8	1.82	+	4.41	2.55E-03	3.19E-02
nucleotide-excision repair, DNA incision, 3'-to lesion (GO:0006295)	21	14	3.18	+	4.41	6.83E-05	1.38E-03
nucleotide-excision repair, preincision complex stabilization (GO:0006293)	21	14	3.18	+	4.41	6.83E-05	1.37E-03
cleavage involved in rRNA processing (GO:0000469)	27	18	4.08	+	4.41	6.43E-06	1.70E-04
regulation of establishment of protein localization to chromosome (GO:0070202)	12	8	1.82	+	4.41	2.55E-03	3.18E-02
mitotic DNA replication (GO:1902969)	12	8	1.82	+	4.41	2.55E-03	3.18E-02
positive regulation of viral release from host cell (GO:1902188)	15	10	2.27	+	4.41	7.51E-04	1.14E-02
regulation of mitotic spindle assembly (GO:1901673)	18	12	2.72	+	4.41	2.25E-04	3.92E-03
fructose metabolic process (GO:0006000)	15	10	2.27	+	4.41	7.51E-04	1.14E-02
peptidyl-serine dephosphorylation (GO:0070262)	15	10	2.27	+	4.41	7.51E-04	1.14E-02
ribosomal large subunit assembly (GO:0000027)	30	20	4.54	+	4.41	1.99E-06	5.80E-05
retinal metabolic process (GO:0042574)	15	10	2.27	+	4.41	7.51E-04	1.14E-02
peroxisomal membrane transport (GO:0015919)	29	19	4.39	+	4.33	4.30E-06	1.17E-04
global genome nucleotide-excision repair (GO:0070911)	26	17	3.93	+	4.32	1.39E-05	3.35E-04
glutamine metabolic process (GO:0006541)	23	15	3.48	+	4.31	4.54E-05	9.60E-04
viral budding via host ESCRT complex (GO:0039702)	20	13	3.03	+	4.30	1.49E-04	2.75E-03
intra-Golgi vesicle-mediated transport (GO:0006891)	37	24	5.60	+	4.29	2.78E-07	9.70E-06
7-methylguanosine mRNA capping (GO:0006370)	34	22	5.14	+	4.28	8.92E-07	2.77E-05
drug metabolic process (GO:0017144)	48	31	7.26	+	4.27	5.74E-09	2.63E-07
phagosome acidification (GO:0090383)	28	18	4.24	+	4.25	9.27E-06	2.35E-04
COPII-coated vesicle cargo loading (GO:0090110)	14	9	2.12	+	4.25	1.66E-03	2.22E-02
maturation of SSU-rRNA (GO:0030490)	50	32	7.56	+	4.23	3.85E-09	1.87E-07
transcription elongation from RNA polymerase I promoter (GO:0006362)	30	19	4.54	+	4.19	6.16E-06	1.63E-04
nucleobase biosynthetic process (GO:0046112)	19	12	2.87	+	4.18	3.24E-04	5.45E-03
phosphatidylcholine biosynthetic process (GO:0006656)	35	22	5.29	+	4.16	1.27E-06	3.83E-05
RNA capping (GO:0036260)	35	22	5.29	+	4.16	1.27E-06	3.83E-05
7-methylguanosine RNA capping (GO:0009452)	35	22	5.29	+	4.16	1.27E-06	3.82E-05
anaphase-promoting complex-dependent catabolic process (GO:0031145)	86	54	13.01	+	4.15	3.46E-14	2.90E-12
nucleotide-sugar biosynthetic process (GO:0009226)	24	15	3.63	+	4.13	6.48E-05	1.32E-03
maturation of LSU-rRNA (GO:0000470)	29	18	4.39	+	4.10	1.32E-05	3.21E-04
purine ribonucleoside monophosphate biosynthetic process (GO:0009168)	21	13	3.18	+	4.09	2.12E-04	3.74E-03
transcription-coupled nucleotide-excision repair (GO:0006283)	73	45	11.04	+	4.08	7.27E-12	4.73E-10
alditol metabolic process (GO:0019400)	26	16	3.93	+	4.07	4.27E-05	9.12E-04
cellular response to nitrogen starvation (GO:0006995)	13	8	1.97	+	4.07	3.65E-03	4.34E-02
IMP metabolic process (GO:0046040)	13	8	1.97	+	4.07	3.65E-03	4.33E-02
pentose-phosphate shunt (GO:0006098)	13	8	1.97	+	4.07	3.65E-03	4.33E-02
cellular response to nitrogen levels (GO:0043562)	13	8	1.97	+	4.07	3.65E-03	4.33E-02
nucleotide-sugar transmembrane transport (GO:0015780)	13	8	1.97	+	4.07	3.65E-03	4.32E-02
branched-chain amino acid metabolic process (GO:0009081)	26	16	3.93	+	4.07	4.27E-05	9.11E-04
cellular aldehyde metabolic process (GO:0006081)	57	35	8.62	+	4.06	1.63E-09	8.25E-08
NADP metabolic process (GO:0006739)	31	19	4.69	+	4.05	8.72E-06	2.22E-04
termination of RNA polymerase I transcription (GO:0006363)	31	19	4.69	+	4.05	8.72E-06	2.22E-04
regulation of cellular amino acid metabolic process (GO:0006521)	67	41	10.13	+	4.05	7.25E-11	4.29E-09
viral translation (GO:0019081)	18	11	2.72	+	4.04	7.01E-04	1.07E-02
protein localization to endoplasmic reticulum (GO:0070972)	144	88	21.78	+	4.04	1.22E-21	1.52E-19
glutamine family amino acid biosynthetic process (GO:0009084)	18	11	2.72	+	4.04	7.01E-04	1.07E-02
serine family amino acid biosynthetic process (GO:0009070)	18	11	2.72	+	4.04	7.01E-04	1.07E-02
metallo-sulfur cluster assembly (GO:0031163)	28	17	4.24	+	4.01	2.81E-05	6.28E-04
iron-sulfur cluster assembly (GO:0016226)	28	17	4.24	+	4.01	2.81E-05	6.27E-04
NADPH regeneration (GO:0006740)	15	9	2.27	+	3.97	2.35E-03	2.99E-02
protein heterotetramerization (GO:0051290)	15	9	2.27	+	3.97	2.35E-03	2.99E-02
maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000463)	15	9	2.27	+	3.97	2.35E-03	2.99E-02
multivesicular body assembly (GO:0036258)	30	18	4.54	+	3.97	1.85E-05	4.26E-04
regulation of protein localization to chromosome, telomeric region (GO:1904814)	15	9	2.27	+	3.97	2.35E-03	2.98E-02
phosphate ion transmembrane transport (GO:0035435)	15	9	2.27	+	3.97	2.35E-03	2.98E-02
protein maturation by iron-sulfur cluster transfer (GO:0097428)	15	9	2.27	+	3.97	2.35E-03	2.98E-02
purine ribonucleoside bisphosphate metabolic process (GO:0034035)	25	15	3.78	+	3.97	9.12E-05	1.78E-03
3'-phosphoadenosine 5'-phosphosulfate metabolic process (GO:0050427)	25	15	3.78	+	3.97	9.12E-05	1.78E-03
ribosomal large subunit biogenesis (GO:0042273)	75	45	11.34	+	3.97	1.43E-11	9.02E-10
'de novo' protein folding (GO:0006458)	42	25	6.35	+	3.94	5.22E-07	1.71E-05
mitotic interphase (GO:0051329)	79	47	11.95	+	3.93	6.32E-12	4.14E-10
interphase (GO:0051325)	79	47	11.95	+	3.93	6.32E-12	4.12E-10
DNA replication initiation (GO:0006270)	32	19	4.84	+	3.93	1.22E-05	3.00E-04
late endosome to vacuole transport via multivesicular body sorting pathway (GO:0032511)	17	10	2.57	+	3.89	1.51E-03	2.06E-02
2-oxoglutarate metabolic process (GO:0006103)	17	10	2.57	+	3.89	1.51E-03	2.06E-02
acetyl-CoA biosynthetic process (GO:0006085)	17	10	2.57	+	3.89	1.51E-03	2.06E-02
primary alcohol metabolic process (GO:0034308)	85	50	12.86	+	3.89	1.85E-12	1.30E-10
viral transcription (GO:0019083)	116	68	17.55	+	3.88	2.31E-16	2.23E-14
nuclear-transcribed mRNA catabolic process (GO:0000956)	200	117	30.25	+	3.87	4.24E-27	7.64E-25
multivesicular body organization (GO:0036257)	31	18	4.69	+	3.84	2.57E-05	5.78E-04
regulation of translational elongation (GO:0006448)	19	11	2.87	+	3.83	9.77E-04	1.42E-02
negative regulation of RNA splicing (GO:0033119)	26	15	3.93	+	3.81	1.26E-04	2.37E-03
acetyl-CoA metabolic process (GO:0006084)	33	19	4.99	+	3.81	1.69E-05	3.95E-04
retinoic acid metabolic process (GO:0042573)	33	19	4.99	+	3.81	1.69E-05	3.95E-04
estrogen metabolic process (GO:0008210)	33	19	4.99	+	3.81	1.69E-05	3.94E-04
purine nucleoside bisphosphate biosynthetic process (GO:0034033)	63	36	9.53	+	3.78	4.00E-09	1.91E-07
ribonucleoside bisphosphate biosynthetic process (GO:0034030)	63	36	9.53	+	3.78	4.00E-09	1.90E-07
quinone metabolic process (GO:1901661)	35	20	5.29	+	3.78	1.11E-05	2.76E-04
organic cation transport (GO:0015695)	35	20	5.29	+	3.78	1.11E-05	2.76E-04
nucleoside bisphosphate biosynthetic process (GO:0033866)	63	36	9.53	+	3.78	4.00E-09	1.90E-07
carbohydrate derivative transport (GO:1901264)	93	53	14.07	+	3.77	1.02E-12	7.55E-11
nucleotide-excision repair, DNA incision, 5'-to lesion (GO:0006296)	37	21	5.60	+	3.75	7.26E-06	1.90E-04
glycerol metabolic process (GO:0006071)	23	13	3.48	+	3.74	4.10E-04	6.71E-03
purine nucleoside monophosphate biosynthetic process (GO:0009127)	23	13	3.48	+	3.74	4.10E-04	6.70E-03
aspartate family amino acid catabolic process (GO:0009068)	23	13	3.48	+	3.74	4.10E-04	6.69E-03
AMP metabolic process (GO:0046033)	16	9	2.42	+	3.72	3.24E-03	3.92E-02
acyl-CoA biosynthetic process (GO:0071616)	48	27	7.26	+	3.72	4.30E-07	1.44E-05
glycine metabolic process (GO:0006544)	16	9	2.42	+	3.72	3.24E-03	3.92E-02
UDP-N-acetylglucosamine metabolic process (GO:0006047)	16	9	2.42	+	3.72	3.24E-03	3.91E-02
chaperone cofactor-dependent protein refolding (GO:0051085)	32	18	4.84	+	3.72	3.53E-05	7.63E-04
thioester biosynthetic process (GO:0035384)	48	27	7.26	+	3.72	4.30E-07	1.43E-05
viral budding (GO:0046755)	25	14	3.78	+	3.70	2.66E-04	4.55E-03
protein targeting to membrane (GO:0006612)	184	103	27.83	+	3.70	6.35E-23	8.53E-21
mRNA catabolic process (GO:0006402)	220	123	33.28	+	3.70	4.34E-27	7.73E-25
maturation of 5.8S rRNA (GO:0000460)	36	20	5.45	+	3.67	1.51E-05	3.59E-04
'de novo' posttranslational protein folding (GO:0051084)	38	21	5.75	+	3.65	9.89E-06	2.49E-04
protein K11-linked ubiquitination (GO:0070979)	29	16	4.39	+	3.65	1.13E-04	2.13E-03
isoprenoid biosynthetic process (GO:0008299)	29	16	4.39	+	3.65	1.13E-04	2.12E-03
monocarboxylic acid catabolic process (GO:0072329)	122	67	18.45	+	3.63	4.23E-15	3.79E-13
fatty-acyl-CoA metabolic process (GO:0035337)	42	23	6.35	+	3.62	4.25E-06	1.16E-04
error-free translesion synthesis (GO:0070987)	22	12	3.33	+	3.61	8.61E-04	1.28E-02
negative regulation of mRNA splicing, via spliceosome (GO:0048025)	22	12	3.33	+	3.61	8.61E-04	1.28E-02
monosaccharide biosynthetic process (GO:0046364)	55	30	8.32	+	3.61	1.66E-07	5.97E-06
negative regulation of G2/M transition of mitotic cell cycle (GO:0010972)	92	50	13.92	+	3.59	1.63E-11	1.02E-09
peroxisomal transport (GO:0043574)	81	44	12.25	+	3.59	2.66E-10	1.49E-08
ribonucleoside monophosphate biosynthetic process (GO:0009156)	35	19	5.29	+	3.59	3.12E-05	6.87E-04
fatty acid beta-oxidation (GO:0006635)	59	32	8.92	+	3.59	7.19E-08	2.72E-06
maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000466)	24	13	3.63	+	3.58	5.56E-04	8.77E-03
retinol metabolic process (GO:0042572)	48	26	7.26	+	3.58	1.20E-06	3.65E-05
DNA strand elongation (GO:0022616)	24	13	3.63	+	3.58	5.56E-04	8.76E-03
tRNA aminoacylation for protein translation (GO:0006418)	50	27	7.56	+	3.57	7.87E-07	2.49E-05
nucleotide-excision repair, DNA incision (GO:0033683)	39	21	5.90	+	3.56	1.33E-05	3.23E-04
transcription initiation from RNA polymerase I promoter (GO:0006361)	39	21	5.90	+	3.56	1.33E-05	3.23E-04
spliceosomal snRNP assembly (GO:0000387)	39	21	5.90	+	3.56	1.33E-05	3.22E-04
rRNA processing (GO:0006364)	260	140	39.33	+	3.56	2.04E-29	4.05E-27
viral gene expression (GO:0019080)	171	92	25.87	+	3.56	9.40E-20	1.04E-17
protein targeting to peroxisome (GO:0006625)	80	43	12.10	+	3.55	5.42E-10	2.93E-08
establishment of protein localization to peroxisome (GO:0072663)	80	43	12.10	+	3.55	5.42E-10	2.92E-08
protein localization to peroxisome (GO:0072662)	80	43	12.10	+	3.55	5.42E-10	2.91E-08
purine nucleoside bisphosphate metabolic process (GO:0034032)	135	72	20.42	+	3.53	1.28E-15	1.21E-13
ribonucleoside bisphosphate metabolic process (GO:0033875)	135	72	20.42	+	3.53	1.28E-15	1.20E-13
nucleoside bisphosphate metabolic process (GO:0033865)	135	72	20.42	+	3.53	1.28E-15	1.19E-13
fatty-acyl-CoA biosynthetic process (GO:0046949)	32	17	4.84	+	3.51	9.86E-05	1.91E-03
hexose biosynthetic process (GO:0019319)	49	26	7.41	+	3.51	1.61E-06	4.73E-05
mRNA cis splicing, via spliceosome (GO:0045292)	34	18	5.14	+	3.50	6.42E-05	1.31E-03
ribosomal small subunit biogenesis (GO:0042274)	74	39	11.19	+	3.48	5.14E-09	2.39E-07
tRNA wobble uridine modification (GO:0002098)	19	10	2.87	+	3.48	2.80E-03	3.45E-02
fatty acid transmembrane transport (GO:1902001)	19	10	2.87	+	3.48	2.80E-03	3.45E-02
response to oxygen radical (GO:0000305)	19	10	2.87	+	3.48	2.80E-03	3.45E-02
long-chain fatty-acyl-CoA biosynthetic process (GO:0035338)	19	10	2.87	+	3.48	2.80E-03	3.44E-02
acyl-CoA metabolic process (GO:0006637)	99	52	14.98	+	3.47	1.69E-11	1.05E-09
thioester metabolic process (GO:0035383)	99	52	14.98	+	3.47	1.69E-11	1.04E-09
fatty acid oxidation (GO:0019395)	84	44	12.71	+	3.46	6.36E-10	3.40E-08
error-prone translesion synthesis (GO:0042276)	21	11	3.18	+	3.46	1.80E-03	2.37E-02
nucleotide-excision repair (GO:0006289)	107	56	16.19	+	3.46	3.19E-12	2.16E-10
alpha-amino acid biosynthetic process (GO:1901607)	65	34	9.83	+	3.46	5.55E-08	2.12E-06
rRNA metabolic process (GO:0016072)	270	141	40.84	+	3.45	1.36E-28	2.66E-26
RNA catabolic process (GO:0006401)	251	131	37.97	+	3.45	1.25E-26	2.16E-24
nucleotide-excision repair, DNA gap filling (GO:0006297)	23	12	3.48	+	3.45	1.16E-03	1.62E-02
gluconeogenesis (GO:0006094)	46	24	6.96	+	3.45	4.99E-06	1.34E-04
intracellular pH reduction (GO:0051452)	48	25	7.26	+	3.44	3.27E-06	9.10E-05
ribonucleoprotein complex assembly (GO:0022618)	194	101	29.35	+	3.44	9.11E-21	1.06E-18
long-chain fatty-acyl-CoA metabolic process (GO:0035336)	25	13	3.78	+	3.44	7.45E-04	1.13E-02
folic acid-containing compound metabolic process (GO:0006760)	27	14	4.08	+	3.43	4.81E-04	7.73E-03
N-terminal protein amino acid modification (GO:0031365)	27	14	4.08	+	3.43	4.81E-04	7.72E-03
tRNA aminoacylation (GO:0043039)	54	28	8.17	+	3.43	9.19E-07	2.84E-05
ribonucleoprotein complex subunit organization (GO:0071826)	201	104	30.40	+	3.42	3.42E-21	4.11E-19
