Cluster representative	Cluster member	Cluster member description	Member P-value	Member user defined value	Member IC	Member frequency
GO:0006293	GO:0051128	regulation of cellular component organization	1.790e-02	0.000e+00	2.504e+00	3.131e-03
GO:0000469	GO:0000469	cleavage involved in rRNA processing	1.700e-04	0.000e+00	4.152e+00	7.039e-05
GO:0000469	GO:0000479	endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	1.340e-03	0.000e+00	4.368e+00	4.282e-05
GO:0000469	GO:0000480	endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	4.510e-02	0.000e+00	4.953e+00	1.115e-05
GO:0000469	GO:0000478	endonucleolytic cleavage involved in rRNA processing	1.340e-03	0.000e+00	4.368e+00	4.289e-05
GO:0000469	GO:0000447	endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	3.210e-02	0.000e+00	4.834e+00	1.466e-05
GO:0070262	GO:0070262	peptidyl-serine dephosphorylation	1.140e-02	0.000e+00	5.289e+00	5.142e-06
GO:0070262	GO:0016311	dephosphorylation	8.790e-03	0.000e+00	2.161e+00	6.906e-03
GO:0048193	GO:0006891	intra-Golgi vesicle-mediated transport	9.700e-06	0.000e+00	4.144e+00	7.179e-05
GO:0048193	GO:0048193	Golgi vesicle transport	4.680e-12	0.000e+00	3.244e+00	5.701e-04
GO:0048193	GO:0006890	retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum	1.870e-05	0.000e+00	3.918e+00	1.208e-04
GO:0048193	GO:0006888	endoplasmic reticulum to Golgi vesicle-mediated transport	1.480e-07	0.000e+00	3.664e+00	2.170e-04
GO:0048193	GO:0006892	post-Golgi vesicle-mediated transport	9.220e-04	0.000e+00	4.014e+00	9.688e-05
GO:0048193	GO:0016192	vesicle-mediated transport	9.720e-11	0.000e+00	2.224e+00	5.977e-03
GO:0048193	GO:0098927	vesicle-mediated transport between endosomal compartments	4.630e-02	0.000e+00	5.065e+00	8.606e-06
GO:0048193	GO:0006887	exocytosis	7.340e-09	0.000e+00	3.423e+00	3.774e-04
GO:0048193	GO:0045055	regulated exocytosis	1.130e-07	0.000e+00	4.216e+00	6.075e-05
GO:0048193	GO:0046903	secretion	1.900e-07	0.000e+00	2.567e+00	2.710e-03
GO:0048193	GO:0032940	secretion by cell	9.550e-07	0.000e+00	2.581e+00	2.627e-03
GO:0048193	GO:0140352	export from cell	1.790e-06	0.000e+00	2.529e+00	2.960e-03
GO:0048193	GO:0043312	neutrophil degranulation	2.980e-11	0.000e+00	5.569e+00	2.701e-06
GO:0048193	GO:0002283	neutrophil activation involved in immune response	5.290e-11	0.000e+00	5.402e+00	3.960e-06
GO:0048193	GO:0043299	leukocyte degranulation	5.350e-10	0.000e+00	5.181e+00	6.588e-06
GO:0048193	GO:0042119	neutrophil activation	1.650e-10	0.000e+00	5.005e+00	9.876e-06
GO:0048193	GO:0036230	granulocyte activation	1.320e-10	0.000e+00	4.964e+00	1.086e-05
GO:0048193	GO:0002275	myeloid cell activation involved in immune response	9.710e-10	0.000e+00	4.925e+00	1.188e-05
GO:0048193	GO:0002366	leukocyte activation involved in immune response	1.310e-07	0.000e+00	4.507e+00	3.111e-05
GO:0048193	GO:0002274	myeloid leukocyte activation	9.250e-08	0.000e+00	4.460e+00	3.469e-05
GO:0048193	GO:0002263	cell activation involved in immune response	1.910e-07	0.000e+00	4.492e+00	3.220e-05
GO:0017144	GO:0017144	drug metabolic process	2.630e-07	0.000e+00	3.273e+00	5.338e-04
GO:0017144	GO:0042738	exogenous drug catabolic process	2.760e-05	0.000e+00	5.236e+00	5.806e-06
GO:0017144	GO:0042737	drug catabolic process	1.980e-05	0.000e+00	5.200e+00	6.313e-06
GO:0006354	GO:0006362	transcription elongation from RNA polymerase I promoter	1.630e-04	0.000e+00	5.749e+00	1.781e-06
GO:0006354	GO:0006354	DNA-templated transcription, elongation	7.910e-07	0.000e+00	3.711e+00	1.945e-04
GO:0006354	GO:0006368	transcription elongation from RNA polymerase II promoter	4.370e-06	0.000e+00	4.161e+00	6.903e-05
GO:0006354	GO:0006353	DNA-templated transcription, termination	1.390e-05	0.000e+00	2.861e+00	1.376e-03
GO:0006354	GO:0006363	termination of RNA polymerase I transcription	2.220e-04	0.000e+00	5.422e+00	3.780e-06
GO:0006354	GO:0006360	transcription by RNA polymerase I	3.660e-04	0.000e+00	4.451e+00	3.543e-05
GO:0006739	GO:0006739	NADP metabolic process	2.220e-04	0.000e+00	2.748e+00	1.786e-03
GO:0006739	GO:0006098	pentose-phosphate shunt	4.330e-02	0.000e+00	2.847e+00	1.423e-03
GO:0006739	GO:0006740	NADPH regeneration	2.990e-02	0.000e+00	2.840e+00	1.444e-03
GO:0006521	GO:0006521	regulation of cellular amino acid metabolic process	4.290e-09	0.000e+00	4.268e+00	5.394e-05
GO:0006521	GO:0033238	regulation of cellular amine metabolic process	7.490e-08	0.000e+00	4.246e+00	5.672e-05
GO:0006521	GO:0062012	regulation of small molecule metabolic process	2.750e-07	0.000e+00	3.601e+00	2.508e-04
GO:0006521	GO:0010565	regulation of cellular ketone metabolic process	6.000e-06	0.000e+00	3.819e+00	1.517e-04
GO:0006521	GO:0045540	regulation of cholesterol biosynthetic process	2.470e-03	0.000e+00	5.556e+00	2.777e-06
GO:0006521	GO:0106118	regulation of sterol biosynthetic process	2.470e-03	0.000e+00	5.403e+00	3.956e-06
GO:0006521	GO:0090181	regulation of cholesterol metabolic process	6.450e-03	0.000e+00	5.251e+00	5.615e-06
GO:0019081	GO:0019081	viral translation	1.070e-02	0.000e+00	5.466e+00	3.422e-06
GO:0051604	GO:0097428	protein maturation by iron-sulfur cluster transfer	2.980e-02	0.000e+00	3.588e+00	2.582e-04
GO:0051604	GO:0051604	protein maturation	2.830e-04	0.000e+00	2.751e+00	1.774e-03
GO:0051604	GO:0019538	protein metabolic process	5.290e-30	0.000e+00	1.007e+00	9.833e-02
GO:0022613	GO:0042273	ribosomal large subunit biogenesis	9.020e-10	0.000e+00	4.063e+00	8.654e-05
GO:0022613	GO:0022613	ribonucleoprotein complex biogenesis	1.130e-43	0.000e+00	2.543e+00	2.867e-03
GO:0022613	GO:0042274	ribosomal small subunit biogenesis	2.390e-07	0.000e+00	3.220e+00	6.026e-04
GO:0022613	GO:0044085	cellular component biogenesis	1.670e-35	0.000e+00	2.515e+00	3.053e-03
GO:0022613	GO:0042254	ribosome biogenesis	6.670e-29	0.000e+00	2.662e+00	2.178e-03
GO:0022613	GO:0006996	organelle organization	4.770e-28	0.000e+00	1.914e+00	1.219e-02
GO:0022613	GO:0090382	phagosome maturation	4.640e-03	0.000e+00	5.210e+00	6.168e-06
GO:0022613	GO:0006997	nucleus organization	4.320e-03	0.000e+00	4.442e+00	3.615e-05
GO:0022613	GO:0051276	chromosome organization	3.810e-20	0.000e+00	2.111e+00	7.747e-03
GO:0022613	GO:0000715	nucleotide-excision repair, DNA damage recognition	3.430e-04	0.000e+00	3.907e+00	1.240e-04
GO:0022613	GO:0071103	DNA conformation change	4.770e-12	0.000e+00	2.182e+00	6.583e-03
GO:0022613	GO:0006265	DNA topological change	3.220e-02	0.000e+00	2.782e+00	1.654e-03
GO:0022613	GO:0006323	DNA packaging	5.960e-05	0.000e+00	3.441e+00	3.622e-04
GO:0022613	GO:0030261	chromosome condensation	2.510e-02	0.000e+00	3.505e+00	3.128e-04
GO:0022613	GO:0007030	Golgi organization	1.470e-02	0.000e+00	4.250e+00	5.622e-05
GO:0022613	GO:0007005	mitochondrion organization	5.970e-05	0.000e+00	3.423e+00	3.776e-04
GO:0022613	GO:0032508	DNA duplex unwinding	1.520e-06	0.000e+00	2.342e+00	4.549e-03
GO:0022613	GO:0000717	nucleotide-excision repair, DNA duplex unwinding	2.420e-04	0.000e+00	5.922e+00	1.198e-06
GO:0022613	GO:0032392	DNA geometric change	1.830e-06	0.000e+00	2.340e+00	4.567e-03
GO:0022613	GO:0071840	cellular component organization or biogenesis	2.800e-24	0.000e+00	1.435e+00	3.671e-02
GO:0022613	GO:0061024	membrane organization	8.730e-06	0.000e+00	2.263e+00	5.464e-03
GO:0022613	GO:0061025	membrane fusion	2.630e-04	0.000e+00	2.370e+00	4.270e-03
GO:0022613	GO:0043933	protein-containing complex subunit organization	2.940e-28	0.000e+00	2.162e+00	6.887e-03
GO:0022613	GO:0071826	ribonucleoprotein complex subunit organization	4.110e-19	0.000e+00	2.725e+00	1.883e-03
GO:0022613	GO:0022618	ribonucleoprotein complex assembly	1.060e-18	0.000e+00	2.726e+00	1.877e-03
GO:0022613	GO:0001732	formation of cytoplasmic translation initiation complex	2.100e-04	0.000e+00	3.995e+00	1.012e-04
GO:0022613	GO:0000027	ribosomal large subunit assembly	5.800e-05	0.000e+00	3.513e+00	3.072e-04
GO:0022613	GO:0000387	spliceosomal snRNP assembly	3.220e-04	0.000e+00	3.201e+00	6.298e-04
GO:0022613	GO:0000244	spliceosomal tri-snRNP complex assembly	5.640e-03	0.000e+00	3.284e+00	5.202e-04
GO:0022613	GO:0065003	protein-containing complex assembly	3.660e-27	0.000e+00	2.233e+00	5.849e-03
GO:0022613	GO:0034622	cellular protein-containing complex assembly	4.350e-25	0.000e+00	2.325e+00	4.734e-03
GO:0022613	GO:0000245	spliceosomal complex assembly	2.610e-04	0.000e+00	4.416e+00	3.833e-05
GO:0022613	GO:0032984	protein-containing complex disassembly	6.080e-03	0.000e+00	3.016e+00	9.645e-04
GO:0022613	GO:0051289	protein homotetramerization	4.710e-05	0.000e+00	4.700e+00	1.996e-05
GO:0022613	GO:0051262	protein tetramerization	6.410e-05	0.000e+00	4.025e+00	9.432e-05
GO:0022613	GO:0051290	protein heterotetramerization	2.990e-02	0.000e+00	5.559e+00	2.758e-06
GO:0022613	GO:0051291	protein heterooligomerization	4.620e-02	0.000e+00	5.286e+00	5.176e-06
GO:0022613	GO:0071824	protein-DNA complex subunit organization	4.160e-11	0.000e+00	3.487e+00	3.260e-04
GO:0022613	GO:0065004	protein-DNA complex assembly	3.600e-10	0.000e+00	3.589e+00	2.577e-04
GO:0022613	GO:0006294	nucleotide-excision repair, preincision complex assembly	4.060e-05	0.000e+00	5.989e+00	1.026e-06
GO:0022613	GO:0034728	nucleosome organization	4.260e-06	0.000e+00	3.682e+00	2.080e-04
GO:0022613	GO:0006334	nucleosome assembly	4.230e-05	0.000e+00	3.847e+00	1.422e-04
GO:0022613	GO:0006267	pre-replicative complex assembly involved in nuclear cell cycle DNA replication	2.210e-02	0.000e+00	5.130e+00	7.419e-06
GO:0022613	GO:1902299	pre-replicative complex assembly involved in cell cycle DNA replication	2.210e-02	0.000e+00	5.130e+00	7.419e-06
GO:0022613	GO:0036388	pre-replicative complex assembly	2.200e-02	0.000e+00	5.130e+00	7.419e-06
GO:0022613	GO:0022607	cellular component assembly	2.830e-18	0.000e+00	1.986e+00	1.034e-02
GO:0022613	GO:0016226	iron-sulfur cluster assembly	6.270e-04	0.000e+00	3.047e+00	8.975e-04
GO:0022613	GO:0031163	metallo-sulfur cluster assembly	6.280e-04	0.000e+00	3.047e+00	8.975e-04
GO:0022613	GO:0016043	cellular component organization	1.270e-13	0.000e+00	1.472e+00	3.375e-02
GO:0022613	GO:0032200	telomere organization	3.430e-04	0.000e+00	3.653e+00	2.221e-04
GO:0022613	GO:0000723	telomere maintenance	7.490e-04	0.000e+00	3.658e+00	2.198e-04
GO:0022613	GO:0032201	telomere maintenance via semi-conservative replication	2.210e-02	0.000e+00	5.968e+00	1.076e-06
GO:0022613	GO:0006325	chromatin organization	1.620e-05	0.000e+00	2.691e+00	2.038e-03
GO:0022613	GO:0097549	chromatin organization involved in negative regulation of transcription	5.720e-03	0.000e+00	4.077e+00	8.382e-05
GO:0022613	GO:0034401	chromatin organization involved in regulation of transcription	1.200e-02	0.000e+00	4.062e+00	8.675e-05
GO:0022613	GO:0031497	chromatin assembly	5.520e-04	0.000e+00	4.444e+00	3.600e-05
GO:0022613	GO:0006333	chromatin assembly or disassembly	4.090e-04	0.000e+00	4.113e+00	7.715e-05
GO:0022613	GO:0006335	DNA replication-dependent nucleosome assembly	4.560e-02	0.000e+00	5.350e+00	4.471e-06
GO:0022613	GO:0034723	DNA replication-dependent nucleosome organization	4.540e-02	0.000e+00	5.349e+00	4.474e-06
GO:0016032	GO:0019083	viral transcription	2.230e-14	0.000e+00	3.146e+00	7.142e-04
GO:0016032	GO:0016032	viral process	1.290e-22	0.000e+00	1.562e+00	2.739e-02
GO:0016032	GO:0019068	virion assembly	7.840e-04	0.000e+00	4.213e+00	6.119e-05
GO:0016032	GO:0019082	viral protein processing	4.440e-02	0.000e+00	3.601e+00	2.506e-04
GO:0016032	GO:0044403	biological process involved in symbiotic interaction	1.370e-21	0.000e+00	1.443e+00	3.604e-02
GO:0016032	GO:0019058	viral life cycle	1.750e-03	0.000e+00	3.602e+00	2.499e-04
GO:0016032	GO:0044419	biological process involved in interspecies interaction between organisms	6.580e-05	0.000e+00	1.403e+00	3.951e-02
GO:0016032	GO:0039702	viral budding via host ESCRT complex	2.750e-03	0.000e+00	3.907e+00	1.240e-04
GO:0016032	GO:0046755	viral budding	4.550e-03	0.000e+00	2.865e+00	1.364e-03
GO:0034754	GO:0008210	estrogen metabolic process	3.940e-04	0.000e+00	5.133e+00	7.354e-06
GO:0034754	GO:0034754	cellular hormone metabolic process	3.660e-08	0.000e+00	3.486e+00	3.264e-04
GO:0034754	GO:0042445	hormone metabolic process	2.560e-06	0.000e+00	3.427e+00	3.740e-04
GO:0034754	GO:0065008	regulation of biological quality	6.280e-06	0.000e+00	1.990e+00	1.022e-02
GO:0034754	GO:0006621	protein retention in ER lumen	3.230e-02	0.000e+00	4.592e+00	2.560e-05
GO:0034754	GO:0006450	regulation of translational fidelity	1.430e-02	0.000e+00	2.890e+00	1.287e-03
GO:0034754	GO:0042573	retinoic acid metabolic process	3.950e-04	0.000e+00	4.988e+00	1.028e-05
GO:0034754	GO:0001523	retinoid metabolic process	3.030e-04	0.000e+00	4.369e+00	4.277e-05
GO:0034754	GO:0042574	retinal metabolic process	1.140e-02	0.000e+00	5.427e+00	3.738e-06
GO:0034754	GO:0006885	regulation of pH	3.200e-04	0.000e+00	3.792e+00	1.615e-04
GO:0034754	GO:0055067	monovalent inorganic cation homeostasis	1.790e-03	0.000e+00	3.680e+00	2.088e-04
GO:0034754	GO:0050821	protein stabilization	1.770e-03	0.000e+00	3.916e+00	1.214e-04
GO:0034754	GO:0031647	regulation of protein stability	2.240e-03	0.000e+00	3.803e+00	1.574e-04
GO:0034754	GO:0007204	positive regulation of cytosolic calcium ion concentration	1.940e-05	0.000e+00	4.171e+00	6.748e-05
GO:0034754	GO:0051480	regulation of cytosolic calcium ion concentration	1.240e-05	0.000e+00	4.100e+00	7.946e-05
GO:0034754	GO:0006874	cellular calcium ion homeostasis	4.970e-03	0.000e+00	3.729e+00	1.866e-04
GO:0034754	GO:0055074	calcium ion homeostasis	3.740e-03	0.000e+00	3.710e+00	1.951e-04
GO:0034754	GO:0072507	divalent inorganic cation homeostasis	2.610e-03	0.000e+00	3.671e+00	2.132e-04
GO:0034754	GO:0072503	cellular divalent inorganic cation homeostasis	6.120e-03	0.000e+00	3.697e+00	2.007e-04
GO:0034754	GO:0045454	cell redox homeostasis	1.530e-02	0.000e+00	3.028e+00	9.386e-04
GO:0034754	GO:0051452	intracellular pH reduction	9.100e-05	0.000e+00	4.881e+00	1.316e-05
GO:0034754	GO:0090383	phagosome acidification	2.350e-04	0.000e+00	5.923e+00	1.194e-06
GO:0034754	GO:0045851	pH reduction	1.940e-04	0.000e+00	4.851e+00	1.410e-05
GO:0034754	GO:0051453	regulation of intracellular pH	4.230e-04	0.000e+00	4.529e+00	2.960e-05
GO:0034754	GO:0030641	regulation of cellular pH	5.150e-04	0.000e+00	4.508e+00	3.102e-05
GO:0034754	GO:0030004	cellular monovalent inorganic cation homeostasis	8.740e-03	0.000e+00	4.162e+00	6.888e-05
GO:0042180	GO:1901661	quinone metabolic process	2.760e-04	0.000e+00	2.445e+00	3.587e-03
GO:0042180	GO:0042180	cellular ketone metabolic process	2.550e-06	0.000e+00	2.371e+00	4.254e-03
GO:0042180	GO:0044597	daunorubicin metabolic process	3.220e-02	0.000e+00	5.909e+00	1.232e-06
GO:0042180	GO:0030647	aminoglycoside antibiotic metabolic process	4.550e-02	0.000e+00	5.831e+00	1.476e-06
GO:0006296	GO:0006296	nucleotide-excision repair, DNA incision, 5'-to lesion	1.900e-04	0.000e+00	5.567e+00	2.708e-06
GO:0006296	GO:0033683	nucleotide-excision repair, DNA incision	3.230e-04	0.000e+00	5.111e+00	7.751e-06
GO:0006296	GO:0006295	nucleotide-excision repair, DNA incision, 3'-to lesion	1.380e-03	0.000e+00	5.976e+00	1.057e-06
GO:0006361	GO:0006361	transcription initiation from RNA polymerase I promoter	3.230e-04	0.000e+00	5.239e+00	5.771e-06
GO:0006361	GO:0032774	RNA biosynthetic process	2.990e-02	0.000e+00	1.890e+00	1.289e-02
GO:0019080	GO:0019080	viral gene expression	1.040e-17	0.000e+00	8.419e+00	3.815e-09
GO:0006297	GO:0006297	nucleotide-excision repair, DNA gap filling	1.620e-02	0.000e+00	5.535e+00	2.914e-06
GO:0038061	GO:0038061	NIK/NF-kappaB signaling	1.880e-07	0.000e+00	5.619e+00	2.403e-06
GO:0019674	GO:0019674	NAD metabolic process	2.530e-04	0.000e+00	3.741e+00	1.816e-04
GO:0019674	GO:0006735	NADH regeneration	1.790e-02	0.000e+00	5.473e+00	3.368e-06
GO:0032787	GO:0006090	pyruvate metabolic process	3.980e-06	0.000e+00	2.136e+00	7.315e-03
GO:0032787	GO:0032787	monocarboxylic acid metabolic process	6.390e-29	0.000e+00	1.662e+00	2.175e-02
GO:0032787	GO:0006631	fatty acid metabolic process	9.280e-17	0.000e+00	2.062e+00	8.663e-03
GO:0032787	GO:0033559	unsaturated fatty acid metabolic process	1.010e-06	0.000e+00	4.012e+00	9.728e-05
GO:0032787	GO:0000038	very long-chain fatty acid metabolic process	2.920e-02	0.000e+00	4.423e+00	3.775e-05
GO:0032787	GO:0001676	long-chain fatty acid metabolic process	7.430e-05	0.000e+00	3.833e+00	1.469e-04
GO:0032787	GO:0072330	monocarboxylic acid biosynthetic process	1.830e-06	0.000e+00	2.065e+00	8.602e-03
GO:0032787	GO:0006633	fatty acid biosynthetic process	7.940e-06	0.000e+00	2.256e+00	5.540e-03
GO:0032787	GO:0019395	fatty acid oxidation	3.400e-08	0.000e+00	3.447e+00	3.574e-04
GO:0032787	GO:0006635	fatty acid beta-oxidation	2.720e-06	0.000e+00	3.455e+00	3.510e-04
GO:0032787	GO:0034440	lipid oxidation	3.860e-08	0.000e+00	3.442e+00	3.616e-04
GO:0032787	GO:0030258	lipid modification	2.720e-07	0.000e+00	2.892e+00	1.284e-03
GO:0032787	GO:0002933	lipid hydroxylation	4.490e-02	0.000e+00	6.092e+00	8.087e-07
GO:0032787	GO:1901605	alpha-amino acid metabolic process	3.840e-12	0.000e+00	1.489e+00	3.242e-02
GO:0032787	GO:1901607	alpha-amino acid biosynthetic process	2.120e-06	0.000e+00	1.660e+00	2.189e-02
GO:0032787	GO:0009066	aspartate family amino acid metabolic process	7.630e-05	0.000e+00	2.036e+00	9.213e-03
GO:0032787	GO:0006553	lysine metabolic process	1.610e-02	0.000e+00	2.382e+00	4.149e-03
GO:0032787	GO:0009064	glutamine family amino acid metabolic process	6.540e-06	0.000e+00	1.926e+00	1.185e-02
GO:0032787	GO:0006541	glutamine metabolic process	9.600e-04	0.000e+00	2.424e+00	3.764e-03
GO:0032787	GO:0009084	glutamine family amino acid biosynthetic process	1.070e-02	0.000e+00	2.204e+00	6.252e-03
GO:0032787	GO:0019752	carboxylic acid metabolic process	1.980e-49	0.000e+00	1.049e+00	8.923e-02
GO:0032787	GO:0006520	cellular amino acid metabolic process	3.260e-19	0.000e+00	1.206e+00	6.224e-02
GO:0032787	GO:0009070	serine family amino acid biosynthetic process	1.070e-02	0.000e+00	2.617e+00	2.413e-03
GO:0032787	GO:0009069	serine family amino acid metabolic process	1.540e-02	0.000e+00	2.397e+00	4.010e-03
GO:0032787	GO:0006544	glycine metabolic process	3.920e-02	0.000e+00	2.801e+00	1.583e-03
GO:0032787	GO:0046394	carboxylic acid biosynthetic process	1.170e-11	0.000e+00	1.306e+00	4.947e-02
GO:0032787	GO:0008652	cellular amino acid biosynthetic process	3.300e-06	0.000e+00	1.433e+00	3.688e-02
GO:0032787	GO:0044283	small molecule biosynthetic process	5.020e-26	0.000e+00	1.116e+00	7.660e-02
GO:0032787	GO:0016053	organic acid biosynthetic process	1.250e-11	0.000e+00	1.244e+00	5.708e-02
GO:0032787	GO:0043648	dicarboxylic acid metabolic process	1.190e-08	0.000e+00	2.095e+00	8.036e-03
GO:0032787	GO:0006108	malate metabolic process	2.210e-02	0.000e+00	3.770e+00	1.700e-04
GO:0032787	GO:0006103	2-oxoglutarate metabolic process	2.060e-02	0.000e+00	4.218e+00	6.056e-05
GO:0032787	GO:0006536	glutamate metabolic process	1.530e-02	0.000e+00	2.807e+00	1.559e-03
GO:0006730	GO:0006730	one-carbon metabolic process	1.850e-03	0.000e+00	2.603e+00	2.496e-03
GO:0015949	GO:0015949	nucleobase-containing small molecule interconversion	1.790e-02	0.000e+00	5.241e+00	5.745e-06
GO:0006734	GO:0061621	canonical glycolysis	1.790e-02	0.000e+00	5.496e+00	3.193e-06
GO:0006734	GO:0006734	NADH metabolic process	3.380e-03	0.000e+00	5.041e+00	9.094e-06
GO:0006734	GO:0061620	glycolytic process through glucose-6-phosphate	9.850e-03	0.000e+00	5.435e+00	3.670e-06
GO:0006734	GO:0061718	glucose catabolic process to pyruvate	1.790e-02	0.000e+00	5.496e+00	3.193e-06
GO:0042908	GO:0042908	xenobiotic transport	7.250e-03	0.000e+00	2.960e+00	1.096e-03
GO:1901615	GO:1901616	organic hydroxy compound catabolic process	1.770e-05	0.000e+00	3.010e+00	9.778e-04
GO:1901615	GO:1901615	organic hydroxy compound metabolic process	3.660e-19	0.000e+00	2.340e+00	4.572e-03
GO:1901615	GO:0046164	alcohol catabolic process	6.940e-05	0.000e+00	3.074e+00	8.441e-04
GO:1901615	GO:1901617	organic hydroxy compound biosynthetic process	3.860e-05	0.000e+00	2.650e+00	2.237e-03
GO:1901615	GO:0006066	alcohol metabolic process	2.470e-16	0.000e+00	2.655e+00	2.211e-03
GO:1901615	GO:0019751	polyol metabolic process	1.970e-04	0.000e+00	2.801e+00	1.580e-03
GO:1901615	GO:0046165	alcohol biosynthetic process	1.410e-04	0.000e+00	3.341e+00	4.557e-04
GO:1901615	GO:1902652	secondary alcohol metabolic process	2.840e-03	0.000e+00	3.452e+00	3.531e-04
GO:1901615	GO:0019400	alditol metabolic process	9.120e-04	0.000e+00	3.120e+00	7.592e-04
GO:1901615	GO:0006071	glycerol metabolic process	6.710e-03	0.000e+00	3.175e+00	6.681e-04
GO:1901615	GO:0034308	primary alcohol metabolic process	1.300e-10	0.000e+00	3.770e+00	1.698e-04
GO:1901615	GO:0034310	primary alcohol catabolic process	4.240e-04	0.000e+00	4.531e+00	2.945e-05
GO:1901615	GO:0006068	ethanol catabolic process	1.200e-03	0.000e+00	6.057e+00	8.773e-07
GO:1901615	GO:0044598	doxorubicin metabolic process	3.220e-02	0.000e+00	5.930e+00	1.175e-06
GO:1901615	GO:0006067	ethanol metabolic process	1.680e-05	0.000e+00	4.221e+00	6.016e-05
